porometer
dpressure,0.0,0.4561684596017395,0.9279774166475929,1.179293507286183,1.3828488593881132,1.5023270008392462,1.5850308995193407,1.6437018387121385,1.7046616311894407,1.7453269245441367,1.7856107423514154,1.863431754024567,1.976882581826505,2.0975051499198902,2.2284275577935455,2.3646906233310445,2.520485236896315,2.698176546883345,2.884336614023041,3.06157015335317,3.241626611734188,3.414816510261692,3.5828946364538035,3.772106507972839,3.947890440222782,4.115053025101091,4.297856107423514,4.478675516899367,4.86152437628748,5.041580834668498,5.235370412756542,5.41542687113756,5.619897764553292,5.831998168917372,6.031891355764095,6.247043564507515,6.436255436026551,6.642252231631953,6.877241168841078,7.069504844739452,7.264820325017166,7.50591287098497,7.713435568780041,7.916380560006104,8.160524910353246,8.368047608148318,8.61219195849546,8.87464713511864,9.059281300068665,9.329365987640193,9.546044098573281,9.77035172045472,9.988555733577478,10.23422598611429,10.4097047379263,10.681315327687495,10.885786221103228,11.134508278019378,11.326771953917754
dflow,0.0,4751.659418631266,2935.8358129243916,1925.6885633630884,1412.9854276340886,1202.410925459678,1089.4941634241245,918.5931181811246,863.6606393530175,958.2665751125353,1147.478446631571,1358.0529488059815,1593.0418860151065,2203.402761882963,3323.4149691004804,4940.871290150301,6848.249027237354,8981.460288395514,11499.198901350423,14398.413061722744,17557.030594338903,20785.839627679867,23935.301747158006,27298.3901731899,30893.415732051577,34427.40520332647,37943.083848325325,41382.467383840696,44751.659418631265,48725.10872053101,52014.953841458766,55597.772182803084,59366.7505912871,63208.97230487526,66913.86282139315,70734.72190432594,74619.66887922485,78590.06637674525,82362.09658960861,86158.54123750668,89829.86190585184,93592.73670557718,97581.44502937362,101493.85824368658,105159.07530327306,108854.81040665293,112675.66948958572,116765.08735790035,120799.57274738689,124614.328221561,128404.6692607004,132112.61158159762,135811.39848935683,139565.11787594415,143196.7650873579,146654.45944914932,150188.4489204242,153756.00823987182,157439.53612573433
durationsecond,361
meanp,2.7547
darcy,61215.49991580484,18592.4108036004,9596.33706070001,6004.8797806719185,4703.593602555085,4039.5084878673056,3284.2899892277555,2977.462437922636,3226.6428841217257,3776.5835477053015,4282.965351591109,4735.738028061515,6173.510678450491,8764.505162412595,12279.213806863372,15967.493075776658,19562.211094520848,23429.498516228625,27638.327780068863,31829.47145335385,35771.86224869705,39259.631604219976,42529.907680644974,45987.75266348376,49166.60324741326,51882.6445094651,54301.038164305115,54097.60346310892,56797.26613300776,58387.80557037193,60334.54529757092,62080.64402253514,63694.61258348398,65193.44652630344,66542.55402891657,68133.60932190782,69533.42825130212,70380.84700770302,71622.70033338456,72666.99553418893,73279.07485025977,74346.53608661304,75345.00199502455,75730.35867990402,76447.7721022763,76887.86397675233,77322.03304784866,78363.3517119614,78497.74844063756,79049.42773707607,79464.91618919744,79905.1689520424,80142.56427233916,80841.83182553784,80688.54556797173,81080.81041979643,81152.59337050187,81686.25668406062
thresold,3000
fpt,437.71324376199624,891.5662921348313,942.4297297297303,1198.9721739130437,1524.4006097560964,1877.5034328358224,1801.3913999999972,2735.4503478260967,4005.733333333325,4678.9166666666515,42168.75000000015
hdf,819.691,587.8667,501.1025,747.971,982.4181,1183.6128,1325.1083,1443.7623,1550.8437,1646.9849,1751.6256,2210.0521,2854.6623,3714.8316,4810.1047,6093.4903,7520.8588,9142.0334,10804.5932,12626.9808,14458.3776,16135.6872,17651.7569,19264.5488,20583.7721,23253.3349,24700.6517,26155.8993,27924.4017,29916.7569,31802.256,33885.5027,35617.7462,37599.8356,39629.4327,41327.9007,43333.3219,45164.4352,47107.9098,49168.981,50949.9971,52888.6651,54817.4974,56642.413,58619.6178,60719.0504,62563.335,64463.1221,66319.5081,68338.6754,70120.0456,71858.6913,73659.1159,75461.3615,77027.2588,80817.0446
Dp,0.039749752040894176,0.020370794232089727,0.01976043335622186,0.015793087663080796,0.012512397955291077,0.010223544670786594,0.010681315327687513,0.007019150072480329,0.0048065918974593835,0.004119935912108047,4.57770656900891E-4
testdate,01/02/2019
testname,porometer
testtime,16:45:52
fluidvalue,15.9
sample,3M900GV
Dt,0.65,0.65,0.65,0.651,0.65,0.651,0.651,0.649,0.65,0.65,0.65
ffp,0.0,0.0,0.0,0.0,0.0,1.547,2.0227,4.8854,2.1712,4.4754,4.5859,0.3351,8.6816,10.934,9.3101,9.824,7.471,4.7937,4.0958,2.6064,2.3004,2.9049,3.2408,2.7808,3.7498,2.1331,2.2352,1.994,1.0827,0.1628,0.9695,0.1411,0.9421,0.2581,0.1602,1.0201,0.0094,0.3185,0.0451,0.1386,0.5191,0.1029,0.0645,0.4067,0.0168,0.2636,0.2553,0.1207,0.1039,0.2541,0.0425,0.0811,0.0778,0.0057,0.2858,2.562
