porometer
dpressure,0.0,0.39787899595635917,0.901884489204242,1.1512169069962614,1.3618677042801557,1.4890516517891204,1.5881589990081635,1.6361486228732738,1.6963454642557412,1.7319752803845274,1.7761501487754634,1.8683909361409934,1.9663538567177843,2.094300755321584,2.211261158159762,2.356069275959411,2.5291065842679483,2.682230869001297,2.8717479209582666,3.05302510109102,3.232166018158236,3.42748149843595,3.5735866330968187,3.7668421454184786,3.933241779201953,4.09597924773022,4.294117647058823,4.472648203250172,4.856946669718471,5.021744106202792,5.223163195239185,5.41695277332723,5.615320057984283,5.79842832074464,6.0105287251087205,6.228732738231479,6.436255436026551,6.65445944914931,6.846723125047684,7.03593499656672,7.244983596551461,7.489127946898604,7.714961470969711,7.945372701609827,8.14068818188754,8.36346990157931,8.593881132219424,8.824292362859541,9.057755397878996,9.330891889829863,9.533836881055924,9.729152361333638,9.932097352559701,10.196078431372548,10.434119172961013,10.635538261997405,10.87510490577554,11.081101701380941,11.294728007934692
psd,0,0.0,0.0,0.0,3.1063,20.1222,60.1456,90.4555,54.411,106.0547,65.8302,13.4513,47.033,55.9553,57.0583,57.3728,50.8649,38.8049,40.815,29.5629,28.4826,42.8462,59.4817,26.49,66.0521,13.7394,40.2574,34.9665,27.3187,16.5104,21.5967,11.1793,17.0232,14.0296,13.5531,18.0492,16.4067,4.9775,0.582,12.8417,13.4,7.9355,19.912,12.4889,4.9543,21.4712,11.5676,12.6453,25.005,2.9295,7.6258,34.3803,5.8182,1.0317,0.9189,289.9861
darcy avg,49306.81
p1,0.0,0.018158236057068743,0.032654306858930345,0.042038605325398645,0.061493858243686576,0.08400091554131381,0.09544518196383611,0.10521095597772183,0.12390325780117495,0.14053559166857404,0.14221408407721065,0.1407644769970245,0.1467154955367361
wpressure,1.2574196993972686,1.513542381933318,1.7621118486305027,1.9647516594186312,2.0634775310902573,2.125200274662394,2.1645685511558708,2.1942473487449456,2.2232394903486687,2.245441367208362,2.271076523994812,2.36919203479057,2.4775310902571146,2.6107423514152743,2.766918440527962,2.9401846341649502,3.1195544365606165,3.306553749904631,3.482948043030442,3.662775616083009,3.843442435339895,4.006332494087129,4.160524910353247,4.369115739681086,4.539406424048218,4.908827344167239,5.091935606927596,5.2765697718776225,5.464255741206989,5.665674830243382,5.856412603952086,6.065461203936827,6.265354390783551,6.469825284199283,6.684977492942703,6.887922484168765,7.086289768825818,7.304493781948577,7.536430914778363,7.756160830090791,7.97436484321355,8.194094758525978,8.395513847562372,8.661020828564888,8.889906157015336,9.098954757000076,9.355306324864577,9.564354924849317,9.820706492713818,10.029755092698558,10.244907301441977,10.45090409704738,10.7011520561532,10.899519340810254,11.143663691157396,11.392385748073549
p2,0.018158236057068743,0.032654306858930345,0.042038605325398645,0.061493858243686576,0.08400091554131381,0.09544518196383611,0.10521095597772183,0.12390325780117495,0.14053559166857404,0.14221408407721065,0.1407644769970245,0.1467154955367361,0.149233234149691
bpressure,0.1408
fluidname,Galwick 
duration,0:6:3
meand,2.5819
crosssection,Circular
pg2value,100
diameter,5.8688,4.8757,4.1879,3.756,3.5763,3.4724,3.4092,3.3631,3.3193,3.2864,3.2493,3.1148,2.9786,2.8266,2.6671,2.5099,2.3656,2.2318,2.1188,2.0147,1.92,1.842,1.7737,1.689,1.6257,1.5033,1.4493,1.3985,1.3505,1.3025,1.2601,1.2166,1.1778,1.1406,1.1039,1.0714,1.0414,1.0103,0.9792,0.9514,0.9254,0.9006,0.879,0.852,0.8301,0.811,0.7888,0.7716,0.7514,0.7358,0.7203,0.7061,0.6896,0.677,0.6622,0.6478
materialtype,Hydrophobic
pg2offset,0.001373311970702678
splate,Small
wflow,0.0,0.0,0.0,0.0,12.207217517357137,70.19150072480355,192.2636758983749,344.85389486533916,457.7706569008927,616.4644846265354,756.8474860761426,1049.8207064927137,1721.2176699473564,2859.5407034409095,4525.825894560158,6778.057526512551,9433.127336537727,12405.584802014191,15658.808270389867,19012.74128328374,22507.057297627223,26028.839551384757,29721.52285038529,33524.07110704204,37512.779430838484,41672.388799877925,45313.19142442969,49103.532463569085,53012.89387350271,57117.570763714044,61237.50667582208,65452.048523689635,69571.98443579767,73627.83245593957,77833.21889066912,81916.53315022508,85880.8270389868,89915.31242847333,93977.26405737392,98097.19996948195,102131.68535896849,106031.89135576409,109916.838330663,114094.75852597848,118120.088502327,122111.84863050279,126048.67627985046,129881.7425803006,133769.74135957885,137523.46074616618,141149.00434882124,144750.1335164416,148314.64103150988,151955.44365606166,155550.46921492333,159121.0803387503
dflownew,1752.3383,1254.0642,1035.1102,1601.6421,2186.7553,2649.8464,2980.8017,3247.1753,3520.4248,3737.8416,3997.1255,5060.8341,6339.6859,8020.0058,10112.2355,12604.5007,15435.1257,18709.3688,22079.8908,25694.1516,29346.6749,32521.5504,35341.4274,38827.0833,41440.0219,46906.5223,49786.3375,52918.0793,56335.002,60190.002,63914.8658,67968.6703,71754.8245,75531.3822,79440.1251,83110.2017,86699.2857,90630.571,94742.0741,98540.962,102235.8292,105931.3148,109342.8133,113880.9412,117771.0961,121255.3448,125484.4912,129021.0477,133553.3702,137238.4767,140690.5539,143581.1699,147257.1838,150852.5267,154442.3199,164821.0076
avgdia,5.8688,5.3723,4.5318,3.972,3.6662,3.5244,3.4408,3.3862,3.3412,3.3029,3.2679,3.1821,3.0467,2.9026,2.7469,2.5885,2.4378,2.2987,2.1753,2.0668,1.9674,1.881,1.8079,1.7314,1.6574,1.5645,1.4763,1.4239,1.3745,1.3265,1.2813,1.2384,1.1972,1.1592,1.1223,1.0877,1.0564,1.0259,0.9948,0.9653,0.9384,0.913,0.8898,0.8655,0.8411,0.8206,0.7999,0.7802,0.7615,0.7436,0.7281,0.7132,0.6979,0.6833,0.6696,0.655
cff,0.0,0.0,0.0,0.0,0.5582,2.6489,6.4501,10.6201,13.0033,16.4925,18.9348,20.744,27.1499,35.6551,44.7559,53.7749,61.1147,66.3068,70.9189,73.9964,76.6937,80.0357,84.0983,86.342,90.5231,88.8414,91.0153,92.7916,94.1029,94.8954,95.8111,96.2974,96.9579,97.4798,97.9772,98.5638,99.056,99.2108,99.1927,99.5497,99.8981,100.0949,100.525,100.1878,100.2963,100.7064,100.4496,100.6671,100.162,100.2077,100.3259,100.8141,100.7181,100.7311,100.7175,96.5417
bdiameter,52.4246
